,Name,Branch,Town,City,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2
457,Bharati Vidyapeeth's College of Engineering,Civil Engineering,Lavale, Pune,JEE,15542.0,51.0,20653.0,44.0,38998.0,45.5906789,43868.0,37.75596
458,Jawahar Education Society's Annasaheb Chudaman Patil College ofEngineering,Information Technology,Kharghar, Navi Mumbai,JEE,15676.0,51.0,17557.0,48.0,18561.0,72.0753904,17852.0,72.9248644
459,N.Y.S.S.'s Datta Meghe College of Engineering,Chemical Engineering, Airoli, Navi Mumbai,JEE,15760.0,51.0,16875.0,50.0,32343.0,55.501039,15540.0,75.8074167
460,N.Y.S.S.'s Datta Meghe College of Engineering,Chemical Engineering, Airoli, Navi Mumbai,JEE,15760.0,51.0,16875.0,50.0,32343.0,55.501039,37943.0,47.2195101
461,N.Y.S.S.'s Datta Meghe College of Engineering,Chemical Engineering, Airoli, Navi Mumbai,JEE,15760.0,51.0,16875.0,50.0,32343.0,55.501039,51609.0,20.2468881
462,JSPM'S Jaywantrao Sawant College of Engineering,Information Technology,Pune,,JEE,15792.0,51.0,17862.0,48.0,9815.0,82.8349555,9766.0,82.8549045
463,New Horizon Institute of Technology & Management,Computer Engineering, Thane,,JEE,15897.0,51.0,18429.0,47.0,20882.0,69.5191252,19098.0,71.3897523
464,R. C. Patel Institute of Technology,Civil Engineering, Shirpur,,JEE,15938.0,51.0,27779.0,36.0,26690.0,62.1723066,32074.0,55.6161188
465,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,16337.0,50.0,21742.0,42.0,14444.0,77.1536909,15923.0,75.3232443
466,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,16337.0,50.0,21742.0,42.0,14444.0,77.1536909,17934.0,72.8887969
467,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,16337.0,50.0,21742.0,42.0,16492.0,74.8831752,15923.0,75.3232443
468,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,16337.0,50.0,21742.0,42.0,16492.0,74.8831752,17934.0,72.8887969
469,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,16337.0,50.0,29039.0,35.0,14444.0,77.1536909,15923.0,75.3232443
470,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,16337.0,50.0,29039.0,35.0,14444.0,77.1536909,17934.0,72.8887969
471,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,16337.0,50.0,29039.0,35.0,16492.0,74.8831752,15923.0,75.3232443
472,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,16337.0,50.0,29039.0,35.0,16492.0,74.8831752,17934.0,72.8887969
473,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,18284.0,47.0,21742.0,42.0,14444.0,77.1536909,15923.0,75.3232443
474,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,18284.0,47.0,21742.0,42.0,14444.0,77.1536909,17934.0,72.8887969
