,Unnamed: 0,Name,Branch,Town,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
23,39,Don Bosco Institute of Technology,Computer Engineering, Mumbai,JEE,1910,123,2015,121,2982,92.6070387,4099,90.9951692,Co-Ed,36 Acres,2654,222,2001,2.41,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
24,39,Don Bosco Institute of Technology,Computer Engineering, Mumbai,JEE,1910,123,2015,121,2982,92.6070387,4099,90.9951692,Co-Ed,,1547,90,2001,2.13,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
25,88,Don Bosco Institute of Technology,Information Technology, Mumbai,JEE,3448,101,3274,103,4472,90.3765335,2891,92.7635149,Co-Ed,36 Acres,2654,222,2001,2.34,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
26,88,Don Bosco Institute of Technology,Information Technology, Mumbai,JEE,3448,101,3274,103,4472,90.3765335,2891,92.7635149,Co-Ed,,1547,90,2001,2.03,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
27,93,Don Bosco Institute of Technology,Mechanical Engineering, Mumbai,JEE,3787,98,4912,88,33880,52.9664503,16097,75.1591082,Co-Ed,36 Acres,2654,222,2001,1.22,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
28,93,Don Bosco Institute of Technology,Mechanical Engineering, Mumbai,JEE,3787,98,4912,88,33880,52.9664503,16097,75.1591082,Co-Ed,,1547,90,2001,1.41,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
29,94,Don Bosco Institute of Technology,Mechanical Engineering, Mumbai,JEE,3787,98,4912,88,33880,52.9664503,38904,45.7804866,Co-Ed,36 Acres,2654,222,2001,1.94,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
30,94,Don Bosco Institute of Technology,Mechanical Engineering, Mumbai,JEE,3787,98,4912,88,33880,52.9664503,38904,45.7804866,Co-Ed,,1547,90,2001,1.33,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
31,95,Don Bosco Institute of Technology,Mechanical Engineering, Mumbai,JEE,3787,98,4912,88,33880,52.9664503,50657,22.7953366,Co-Ed,36 Acres,2654,222,2001,1.62,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
32,95,Don Bosco Institute of Technology,Mechanical Engineering, Mumbai,JEE,3787,98,4912,88,33880,52.9664503,50657,22.7953366,Co-Ed,,1547,90,2001,1.86,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
