,Rank,Scores,Name,Branch,Town,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
948,25136,63.9025795,Deogiri Institute of Engineering and Management Studies,"Electronics andTelecommunication Engg", Aurangabad,Co-Ed,9 Acres,2968,157,2009,1.59,"Dr Babasaheb Ambedkar Technological University, Lonere","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Aurangabad,Maharashtra,India,Private,216583.3333
426,25140,63.9025795,Sinhgad College of Engineering,Bio Technology, Vadgaon (BK),Co-Ed,5 Acres,5292,300,1996,3.12,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations",Pune,Maharashtra,India,Private,400476.1905
983,25396,63.8282598,Keystone School of Engineering,Computer Engineering, Pune,Co-Ed,7 Acres,726,54,2012,1.09,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Transport, Laboratories",Pune,Maharashtra,India,Private,198000
641,25342,63.8282598,Annasaheb Dange College of Engineering and Technology,Aeronautical Engineering, Ashta,Co-Ed,25 Acres,2664,166,1999,3.3,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Ashta,Maharashtra,India,Private,266000
1062,25566,63.7496286,Genba Sopanrao Moze College of Engineering,Information Technology, Baner-Balewadi,Co-Ed,,1836,76,1999,1.97,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,344000
500,25646,63.6696335,Shri Sant Gajanan Maharaj College of Engineering,Electrical Engg[Electronics and Power],Shegaon,Co-Ed,82 Acres,933,90,1983,3.22,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Shegaon,Maharashtra,India,Private,284200
694,25920,63.4810593,Marathwada Mitra Mandal's College of Engineering,"Electronics and TelecommunicationEngg", Karvenagar,Co-Ed,,2483,85,2006,3.31,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,283285.7143
1112,26064,63.2129688,Matoshri College of Engineering and Research Centre,Computer Engineering, Eklahare,Co-Ed,10 Acres,1808,135,2007,1.94,"Savitribai Phule Pune University, Pune","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Nashik,Maharashtra,India,Private,218454.5455
865,85086,63.0,Ideal Institute of Technology,"Electronics and TelecommunicationEngg", Wada,Co-Ed,30 Acres,450,53,2013,1.34,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room",Posheri,Maharashtra,India,Private,264000
264,10475,63.0,Bharati Vidyapeeth's College of Engineering,"Electronics and TelecommunicationEngg",Lavale,Co-Ed,,2150,96,1999,3.88,"Guru Gobind Singh Indraprastha University, Delhi","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",New Delhi,Delhi,India,Private,443000
266,10475,63.0,Bharati Vidyapeeth's College of Engineering,"Electronics and TelecommunicationEngg",Lavale,Co-Ed,10 Acres,1317,51,2001,3.86,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Kolhapur,Maharashtra,India,Private,228857.1429
1146,85054,63.0,Bharat College of Engineering,Mechanical Engineering, Kanhor,Co-Ed,16 Acres,,68,2010,1.83,"University of Mumbai, Mumbai","Library, Sports, Auditorium, IT Infrastructure, Laboratories, Alumni Associations",Thane,Maharashtra,India,Private,279000
509,10433,63.0,Yeshwantrao Chavan College of Engineering,Civil Engineering,Wanadongri,Co-Ed,14 Acres,,298,1984,3.33,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
863,85086,63.0,Ideal Institute of Technology,"Electronics and TelecommunicationEngg", Wada,Co-Ed,,,166,1998,1.54,"Dr APJ Abdul Kalam Technical University, Lucknow","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Ghaziabad,Uttar Pradesh,India,Private,310000
265,10475,63.0,Bharati Vidyapeeth's College of Engineering,"Electronics and TelecommunicationEngg",Lavale,Co-Ed,10 Acres,793,43,2012,4.0,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Lavale,Maharashtra,India,Private,283200
864,85086,63.0,Ideal Institute of Technology,"Electronics and TelecommunicationEngg", Wada,Co-Ed,10 Acres,896,81,2009,1.98,"Jawaharlal Nehru Technological University, Kakinada","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations",Kakinada,Andhra Pradesh,India,Private,168000
399,10646,63.0,Sinhgad College of Engineering,Chemical Engineering, Vadgaon (BK),Co-Ed,5 Acres,5292,300,1996,3.23,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations",Pune,Maharashtra,India,Private,400476.1905
427,26338,62.7368048,Sinhgad College of Engineering,Civil Engineering, Vadgaon (BK),Co-Ed,5 Acres,5292,300,1996,3.47,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations",Pune,Maharashtra,India,Private,400476.1905
337,26546,62.6356061,Bharati Vidyapeeth's College of Engineering,Civil Engineering,Lavale,Co-Ed,10 Acres,793,43,2012,3.38,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Lavale,Maharashtra,India,Private,283200
338,26546,62.6356061,Bharati Vidyapeeth's College of Engineering,Civil Engineering,Lavale,Co-Ed,10 Acres,1317,51,2001,3.06,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Kolhapur,Maharashtra,India,Private,228857.1429
336,26546,62.6356061,Bharati Vidyapeeth's College of Engineering,Civil Engineering,Lavale,Co-Ed,,2150,96,1999,3.18,"Guru Gobind Singh Indraprastha University, Delhi","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",New Delhi,Delhi,India,Private,443000
735,26744,62.1723066,JSPM Narhe Technical Campus,"Electronics andTelecommunication Engg", Pune.,Co-Ed,,2610,166,2011,2.67,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Pune,Maharashtra,India,Private,254818.1818
520,10864,62.0,Yeshwantrao Chavan College of Engineering,Civil Engineering,Wanadongri,Co-Ed,14 Acres,,298,1984,3.28,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
464,10987,62.0,Bharati Vidyapeeth College of Engineering,Chemical Engineering, Belpada,Co-Ed,,2216,71,1990,3.14,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Navi Mumbai,Maharashtra,India,Private,315875
1191,86397,62.0,Wainganga College of Engineering and Management,Information Technology, Dongargaon,Co-Ed,7 Acres,1250,164,2008,1.13,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Convenience Store, Alumni Associations",Sirul,Maharashtra,India,Private,218722.2222
1108,86708,62.0,Matoshri College of Engineering and Research Centre,"Electronics and TelecommunicationEngg", Eklahare,Co-Ed,10 Acres,1808,135,2007,1.19,"Savitribai Phule Pune University, Pune","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Nashik,Maharashtra,India,Private,218454.5455
99,10888,62.0,Vivekanand Education Society's Institute of Technology,Instrumentation Engineering, Chembur,Co-Ed,,3138,126,1984,3.63,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
1140,86045,62.0,Bharat College of Engineering,Mechanical Engineering, Kanhor,Co-Ed,16 Acres,,68,2010,1.67,"University of Mumbai, Mumbai","Library, Sports, Auditorium, IT Infrastructure, Laboratories, Alumni Associations",Thane,Maharashtra,India,Private,279000
585,86447,62.0,Vidyavardhini's College of Engineering and Technology,Instrumentation Engineering, Vasai,Co-Ed,12 Acres,1809,65,1994,3.37,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories",Vasai,Maharashtra,India,Private,360857.1429
687,10771,62.0,Marathwada Mitra Mandal's College of Engineering,Information Technology, Karvenagar,Co-Ed,,2483,85,2006,3.3,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,283285.7143
105,10738,62.0,Vivekanand Education Society's Institute of Technology,Instrumentation Engineering, Chembur,Co-Ed,,3138,126,1984,3.87,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
781,27564,61.2449702,NBN Sinhgad Technical Institutes Campus,"Electronics andTelecommunication Engg", Pune,Co-Ed,17 Acres,1810,128,2011,2.09,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,352750
935,87558,61.0,Deogiri Institute of Engineering and Management Studies,"Electronics and TelecommunicationEngg", Aurangabad,Co-Ed,9 Acres,2968,157,2009,1.04,"Dr Babasaheb Ambedkar Technological University, Lonere","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Aurangabad,Maharashtra,India,Private,216583.3333
813,87362,61.0,Universal College of Engineering,Civil Engineering,Kaman Dist. Palghar,Co-Ed,5 Acres,1438,88,2012,2.4,"University of Mumbai, Mumbai","Girls Hostel, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Transport, Laboratories, Banks Facilities",Poman,Maharashtra,India,Private,384000
493,11212,61.0,Shri Sant Gajanan Maharaj College of Engineering,Mechanical Engineering,Shegaon,Co-Ed,82 Acres,933,90,1983,3.18,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Shegaon,Maharashtra,India,Private,284200
1021,87701,61.0,Shri Vithal Education and Research Institute's College of Engineering,Electrical Engineering,"Pandharpur",Co-Ed,10 Acres,,153,1998,1.92,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Alumni Associations, Banks Facilities",Solapur,Maharashtra,India,Private,350000
521,11226,61.0,Yeshwantrao Chavan College of Engineering,Electrical Engg[Electronics and Power],Wanadongri,Co-Ed,14 Acres,,298,1984,3.39,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
799,86935,61.0,Anjuman-I-Islam's Kalsekar Technical Campus,"Electronics and TelecommunicationEngg", Panvel,Co-Ed,11 Acres,2440,78,2011,2.05,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Navi Mumbai,Maharashtra,India,Private,287266.6667
379,11324,61.0,Walchand Institute of Technology,Information Technology, Solapur,Co-Ed,22 Acres,2551,156,1983,3.33,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Solapur,Maharashtra,India,Private,357692.3077
465,11345,61.0,Bharati Vidyapeeth College of Engineering,Mechanical Engineering, Belpada,Co-Ed,,2216,71,1990,3.43,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Navi Mumbai,Maharashtra,India,Private,315875
655,11088,61.0,Lokmanya Tilak College of Engineering,Computer Engineering, Kopar Khairane,Co-Ed,3 Acres,2216,108,1994,3.35,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories",Navi Mumbai,Maharashtra,India,Private,406000
388,27988,60.6136506,Walchand Institute of Technology,Electronics Engineering, Solapur,Co-Ed,22 Acres,2551,156,1983,3.48,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Solapur,Maharashtra,India,Private,357692.3077
669,28198,60.2733485,Lokmanya Tilak College of Engineering,Electrical Engineering, Kopar Khairane,Co-Ed,3 Acres,2216,108,1994,3.17,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories",Navi Mumbai,Maharashtra,India,Private,406000
505,28455,60.1371142,Shri Sant Gajanan Maharaj College of Engineering,Mechanical Engineering,Shegaon,Co-Ed,82 Acres,933,90,1983,3.03,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Shegaon,Maharashtra,India,Private,284200
279,89022,60.0,Bharati Vidyapeeth's College of Engineering,"Electronics and TelecommunicationEngg", Kolhapur,Co-Ed,,2150,96,1999,3.63,"Guru Gobind Singh Indraprastha University, Delhi","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",New Delhi,Delhi,India,Private,443000
866,87976,60.0,Ideal Institute of Technology,Civil Engineering, Wada,Co-Ed,,,166,1998,1.6,"Dr APJ Abdul Kalam Technical University, Lucknow","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Ghaziabad,Uttar Pradesh,India,Private,310000
489,11569,60.0,Shri Sant Gajanan Maharaj College of Engineering,Electrical Engg[Electronics and Power],Shegaon,Co-Ed,82 Acres,933,90,1983,3.24,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Shegaon,Maharashtra,India,Private,284200
281,89022,60.0,Bharati Vidyapeeth's College of Engineering,"Electronics and TelecommunicationEngg", Kolhapur,Co-Ed,10 Acres,1317,51,2001,3.84,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Kolhapur,Maharashtra,India,Private,228857.1429
280,89022,60.0,Bharati Vidyapeeth's College of Engineering,"Electronics and TelecommunicationEngg", Kolhapur,Co-Ed,10 Acres,793,43,2012,3.93,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Lavale,Maharashtra,India,Private,283200
867,87976,60.0,Ideal Institute of Technology,Civil Engineering, Wada,Co-Ed,10 Acres,896,81,2009,2.0,"Jawaharlal Nehru Technological University, Kakinada","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations",Kakinada,Andhra Pradesh,India,Private,168000
868,87976,60.0,Ideal Institute of Technology,Civil Engineering, Wada,Co-Ed,30 Acres,450,53,2013,1.11,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room",Posheri,Maharashtra,India,Private,264000
522,11422,60.0,Yeshwantrao Chavan College of Engineering,"Electronics and TelecommunicationEngg",Wanadongri,Co-Ed,14 Acres,,298,1984,3.34,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
510,11943,60.0,Yeshwantrao Chavan College of Engineering,"Electronics and TelecommunicationEngg",Wanadongri,Co-Ed,14 Acres,,298,1984,3.33,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
632,88874,60.0,Annasaheb Dange College of Engineering and Technology,Automobile Engineering, Ashta,Co-Ed,25 Acres,2664,166,1999,3.49,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Ashta,Maharashtra,India,Private,266000
939,88744,60.0,Deogiri Institute of Engineering and Management Studies,"Electronics and TelecommunicationEngg", Aurangabad,Co-Ed,9 Acres,2968,157,2009,1.05,"Dr Babasaheb Ambedkar Technological University, Lonere","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Aurangabad,Maharashtra,India,Private,216583.3333
906,28616,59.9064509,Jawaharlal Darda Institute of Engineering and Technology,Electrical Engineering, Yavatmal,Co-Ed,20 Acres,1280,40,1996,1.31,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Yavatmal,Maharashtra,India,Private,248000
1267,28720,59.6810501,Bhagwant Institute of Technology,Mechanical Engineering, Barshi,Co-Ed,150 Acres,492,156,1999,1.27,"Dr APJ Abdul Kalam Technical University, Lucknow","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Kailashpur Jasmor,Uttar Pradesh,India,Private,165687.5
1266,28720,59.6810501,Bhagwant Institute of Technology,Mechanical Engineering, Barshi,Co-Ed,,1055,88,2011,1.93,"Dr Babasaheb Ambedkar Technological University, Lonere","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Guest Room",Barshi,Maharashtra,India,Private,195714.2857
1265,28720,59.6810501,Bhagwant Institute of Technology,Mechanical Engineering, Barshi,Co-Ed,,,34,1999,1.58,"Dr APJ Abdul Kalam Technical University, Lucknow","Boys Hostel, Girls Hostel, Library, Cafeteria, IT Infrastructure, Transport, Laboratories",Galand,Uttar Pradesh,India,Private,240000
591,28729,59.4964083,Vidyavardhini's College of Engineering and Technology,Mechanical Engineering, Vasai,Co-Ed,12 Acres,1809,65,1994,3.06,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories",Vasai,Maharashtra,India,Private,360857.1429
196,12336,59.0,MKSSS's Cummins College of Engineering for Women,Instrumentation Engineering, Karvenagar,Female,4 Acres,2631,128,1991,3.92,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
1225,89987,59.0,Nanasaheb Mahadik College of Engineering,Computer Science and Engineering,Walwa,Co-Ed,,898,17,2011,1.9,"Dr Babasaheb Ambedkar Technological University, Lonere","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, IT Infrastructure, Transport, Laboratories",Ashta,Maharashtra,India,Private,226166.6667
649,12324,59.0,Lokmanya Tilak College of Engineering,Electrical Engineering, Kopar Khairane,Co-Ed,3 Acres,2216,108,1994,3.21,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories",Navi Mumbai,Maharashtra,India,Private,406000
351,12314,59.0,Vidyalankar Institute of Technology,Bio Medical Engineering,Wadala,Co-Ed,11 Acres,3563,167,1999,3.2,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility",Mumbai,Maharashtra,India,Private,433583.3333
608,12053,59.0,Modern Education Society's College of Engineering,Mechanical Engineering, Pune,Co-Ed,,1904,62,1999,3.05,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Pune,Maharashtra,India,Private,348285.7143
541,12253,59.0,Bharati Vidyapeeth's College of Engineering for Women,Information Technology, Katraj,Female,,905,56,2000,3.14,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,323500
569,29449,58.8897151,Atharva College of Engineering,Electronics Engineering,Malad(West),Co-Ed,6 Acres,2057,130,1999,3.07,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,480000
923,29498,58.7898164,Tatyasaheb Kore Institute of Engineering and Technology,Chemical Engineering, Warananagar,Co-Ed,30 Acres,2160,134,1983,1.46,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Laboratories, Swimming Pool, Alumni Associations",Kolhapur,Maharashtra,India,Private,281538.4615
1070,73444,58.7564176,MAEER's MIT College of Railway Engineering and Research,"Computer Science andEngineering", Jamgaon,Co-Ed,,101,31,2017,1.52,"Solapur University, Solapur","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room",Barshi,Maharashtra,India,Private,311000
366,29640,58.5627464,Vidyalankar Institute of Technology,Bio Medical Engineering,Wadala,Co-Ed,11 Acres,3563,167,1999,3.08,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility",Mumbai,Maharashtra,India,Private,433583.3333
1241,29837,58.2063894,Jawahar Education Society's Institute of Technology,Computer Engineering," Management &Research",Co-Ed,10 Acres,627,58,2012,1.22,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Sawargaon,Maharashtra,India,Private,290000
470,12478,58.0,Bharati Vidyapeeth College of Engineering,Chemical Engineering, Belpada,Co-Ed,,2216,71,1990,3.4,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Navi Mumbai,Maharashtra,India,Private,315875
681,12384,58.0,Marathwada Mitra Mandal's College of Engineering,Information Technology, Karvenagar,Co-Ed,,2483,85,2006,3.17,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,283285.7143
1078,30222,57.5032788,Mauli Group of Institutions,Computer Science and Engineering, College of Engineering and Technology,Co-Ed,45 Acres,1001,73,2011,1.07,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations",Sawarna,Maharashtra,India,Private,243142.8571
592,30414,57.4239924,Vidyavardhini's College of Engineering and Technology,Civil Engineering, Vasai,Co-Ed,12 Acres,1809,65,1994,3.08,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories",Vasai,Maharashtra,India,Private,360857.1429
