,Rank,Scores,Name,Branch,Town,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
40,2068,120.0,Shri Ramdeobaba College of Engineering and Management,Information Technology, Nagpur,Co-Ed,,4685,256,1984,3.71,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
76,2177,119.0,Thadomal Shahani Engineering College,"Electronics and TelecommunicationEngg", Bandra,Co-Ed,,1718,110,1983,3.8,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
96,2230,118.0,Vivekanand Education Society's Institute of Technology,Information Technology, Chembur,Co-Ed,,3138,126,1984,3.53,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
101,2266,117.0,Vivekanand Education Society's Institute of Technology,Computer Engineering, Chembur,Co-Ed,,3138,126,1984,3.68,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
30,2314,116.0,Shri Ramdeobaba College of Engineering and Management,"Electronics and CommunicationEngineering", Nagpur,Co-Ed,,4685,256,1984,3.9,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
190,2388,115.0,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,Female,4 Acres,2631,128,1991,3.53,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
218,2508,113.0,MIT Academy of Engineering,Computer Engineering,Alandi,Co-Ed,11 Acres,3030,171,1999,3.87,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
31,2498,113.0,Shri Ramdeobaba College of Engineering and Management,Electrical Engineering, Nagpur,Co-Ed,,4685,256,1984,3.86,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
77,2496,113.0,Thadomal Shahani Engineering College,Chemical Engineering, Bandra,Co-Ed,,1718,110,1983,3.74,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
32,2601,112.0,Shri Ramdeobaba College of Engineering and Management,Civil Engineering, Nagpur,Co-Ed,,4685,256,1984,3.88,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
